,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,
,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,
2/28/2014,USD,539.51,1.72%,USD,428.25,0.14%,USD,30.57,-3.66%,USD,426.53,1.79%,USD,268.76,0.26%,USD,641.72,2.75%,USD,766.97,2.04%,USD,587.74,3.08%,USD,353.73,0.93%,USD,293.27,0.66%,USD,853.29,0.69%,USD,637.07,2.88%,USD,263.22,0.94%,USD,483.61,1.41%,
1/31/2014,USD,530.41,-0.29%,USD,427.65,2.09%,USD,31.73,-1.09%,USD,419.01,-2.27%,USD,268.07,0.08%,USD,624.57,0.29%,USD,751.63,0.40%,USD,570.18,0.24%,USD,350.48,0.49%,USD,291.36,1.00%,USD,847.46,-1.05%,USD,619.23,-0.08%,USD,260.78,-3.42%,USD,476.90,0.81%,
12/31/2013,USD,531.93,1.19%,USD,418.88,0.54%,USD,32.08,-0.77%,USD,428.76,1.28%,USD,267.85,1.30%,USD,622.78,1.61%,USD,748.63,1.94%,USD,568.84,1.47%,USD,348.76,0.39%,USD,288.48,0.18%,USD,856.49,0.71%,USD,619.71,1.80%,USD,270.02,0.10%,USD,473.09,1.63%,
11/30/2013,USD,525.65,1.31%,USD,416.65,-0.20%,USD,32.33,-1.49%,USD,423.33,1.08%,USD,264.42,2.59%,USD,612.92,1.68%,USD,734.37,1.55%,USD,560.62,1.74%,USD,347.41,0.10%,USD,287.96,0.50%,USD,850.48,1.03%,USD,608.75,1.85%,USD,269.74,2.09%,USD,465.48,0.86%,
10/31/2013,USD,518.86,1.59%,USD,417.50,0.92%,USD,32.82,-1.65%,USD,418.79,2.01%,USD,257.75,1.17%,USD,602.81,1.45%,USD,723.19,1.53%,USD,551.01,1.41%,USD,347.05,0.57%,USD,286.54,0.61%,USD,841.81,1.01%,USD,597.70,2.54%,USD,264.21,2.96%,USD,461.50,1.77%,
9/30/2013,USD,510.72,1.27%,USD,413.68,0.24%,USD,33.37,-5.52%,USD,410.52,1.28%,USD,254.77,0.91%,USD,594.22,1.45%,USD,712.28,1.38%,USD,543.34,1.49%,USD,345.10,0.81%,USD,284.80,0.51%,USD,833.36,0.84%,USD,582.87,2.64%,USD,256.62,-0.15%,USD,453.46,1.42%,
8/31/2013,USD,504.30,-0.54%,USD,412.71,0.72%,USD,35.32,0.03%,USD,405.34,-0.24%,USD,252.48,-1.72%,USD,585.72,-0.04%,USD,702.61,-0.48%,USD,535.36,0.16%,USD,342.32,0.01%,USD,283.36,0.21%,USD,826.43,-0.92%,USD,567.88,-1.11%,USD,257.00,-2.77%,USD,447.10,0.08%,
7/31/2013,USD,507.05,0.88%,USD,409.77,-0.08%,USD,35.31,-5.74%,USD,406.32,-0.09%,USD,256.91,2.02%,USD,585.97,1.51%,USD,706.01,1.31%,USD,534.49,1.61%,USD,342.29,0.99%,USD,282.77,0.38%,USD,834.14,0.26%,USD,574.28,1.95%,USD,264.33,-1.06%,USD,446.74,1.16%,
6/30/2013,USD,502.62,-1.66%,USD,410.10,-0.33%,USD,37.46,0.81%,USD,406.69,-2.64%,USD,251.83,0.57%,USD,577.23,-1.31%,USD,696.88,-0.86%,USD,526.02,-1.53%,USD,338.92,0.17%,USD,281.69,-1.14%,USD,831.95,-2.48%,USD,563.28,-0.63%,USD,267.17,-5.42%,USD,441.61,-0.74%,
