caldt,,vwretd,sprtrn
19940131,SP500,0.033429,0.032501
19940228,SP500,-0.027161,-0.030045
19940331,SP500,-0.043456,-0.045746
19940429,SP500,0.012817,0.011531
19940531,SP500,0.016309,0.012419
19940630,SP500,-0.024762,-0.026812
19940729,SP500,0.032714,0.031467
19940831,SP500,0.041341,0.037643
19940930,SP500,-0.02394,-0.026898
19941031,SP500,0.022619,0.020834
19941130,SP500,-0.036248,-0.039505
19941230,SP500,0.014955,0.012299
19950131,SP500,0.026,0.024278
19950228,SP500,0.039228,0.036074
19950331,SP500,0.029334,0.027329
19950428,SP500,0.029395,0.02796
19950531,SP500,0.039809,0.036312
19950630,SP500,0.024155,0.021279
19950731,SP500,0.033405,0.031776
19950831,SP500,0.003495,-0.00032
19950929,SP500,0.042102,0.040098
19951031,SP500,-0.003442,-0.004979
19951130,SP500,0.044029,0.041049
19951229,SP500,0.017643,0.017444
19960131,SP500,0.034861,0.032617
19960229,SP500,0.010087,0.006934
19960329,SP500,0.009585,0.007917
19960430,SP500,0.015133,0.013431
19960531,SP500,0.025257,0.022853
19960628,SP500,0.004128,0.002257
19960731,SP500,-0.044441,-0.045748
19960830,SP500,0.021928,0.018814
19960930,SP500,0.056035,0.054173
19961031,SP500,0.026798,0.026131
19961129,SP500,0.076455,0.073376
19961231,SP500,-0.019815,-0.021505
19970131,SP500,0.062779,0.061317
19970228,SP500,0.007752,0.005928
19970331,SP500,-0.041653,-0.042614
19970430,SP500,0.060274,0.058406
19970530,SP500,0.061401,0.058577
19970630,SP500,0.044103,0.043453
19970731,SP500,0.080388,0.078123
19970829,SP500,-0.05497,-0.057446
19970930,SP500,0.053886,0.053154
19971031,SP500,-0.032605,-0.034478
19971128,SP500,0.046321,0.044587
19971231,SP500,0.017147,0.015732
19980130,SP500,0.011994,0.01015
19980227,SP500,0.071956,0.070449
19980331,SP500,0.051336,0.049946
19980430,SP500,0.011275,0.009076
19980529,SP500,-0.017674,-0.018826
19980630,SP500,0.04097,0.039438
19980731,SP500,-0.010109,-0.011615
19980831,SP500,-0.143124,-0.145797
19980930,SP500,0.063176,0.062396
19981030,SP500,0.080111,0.080294
19981130,SP500,0.062165,0.059126
19981231,SP500,0.059673,0.056375
19990129,SP500,0.0428,0.041009
19990226,SP500,-0.031935,-0.032283
19990331,SP500,0.038979,0.038794
19990430,SP500,0.037559,0.037944
19990528,SP500,-0.023162,-0.02497
19990630,SP500,0.054431,0.054438
19990730,SP500,-0.03022,-0.032046
19990831,SP500,-0.004989,-0.006254
19990930,SP500,-0.028079,-0.028552
19991029,SP500,0.064238,0.062539
19991130,SP500,0.020822,0.019062
19991231,SP500,0.062579,0.057844
20000131,SP500,-0.049606,-0.050904
20000229,SP500,-0.01747,-0.020108
20000331,SP500,0.098492,0.09672
20000428,SP500,-0.031585,-0.030796
20000531,SP500,-0.022412,-0.021915
20000630,SP500,0.026219,0.023934
20000731,SP500,-0.01195,-0.016341
20000831,SP500,0.063702,0.060699
20000929,SP500,-0.051943,-0.053483
20001031,SP500,-0.004217,-0.004949
20001130,SP500,-0.078315,-0.080069
20001229,SP500,0.005664,0.004053
20010131,SP500,0.032252,0.034637
20010228,SP500,-0.091107,-0.092291
20010330,SP500,-0.063499,-0.064205
20010430,SP500,0.077766,0.076814
20010531,SP500,0.007033,0.00509
20010629,SP500,-0.024417,-0.025004
20010731,SP500,-0.00933,-0.010772
20010831,SP500,-0.063434,-0.064108
20010928,SP500,-0.080426,-0.081723
20011031,SP500,0.019558,0.018099
20011130,SP500,0.078787,0.075176
20011231,SP500,0.00905,0.007574
20020131,SP500,-0.014321,-0.015574
20020228,SP500,-0.019481,-0.020766
20020328,SP500,0.037573,0.036739
20020430,SP500,-0.061021,-0.061418
20020531,SP500,-0.0078,-0.009081
20020628,SP500,-0.071346,-0.072465
20020731,SP500,-0.073975,-0.078995
20020830,SP500,0.007043,0.004881
20020930,SP500,-0.109019,-0.110013
20021031,SP500,0.088599,0.086436
20021129,SP500,0.059019,0.05707
20021231,SP500,-0.058834,-0.060333
20030131,SP500,-0.026579,-0.027415
20030228,SP500,-0.015246,-0.017004
20030331,SP500,0.010308,0.008358
20030430,SP500,0.082774,0.081044
20030530,SP500,0.053251,0.050899
20030630,SP500,0.012816,0.011322
20030731,SP500,0.017932,0.016224
20030829,SP500,0.019597,0.017873
20030930,SP500,-0.010737,-0.011944
20031031,SP500,0.05556,0.054962
20031128,SP500,0.009259,0.007129
20031231,SP500,0.051842,0.050765
20040130,SP500,0.019078,0.017276
20040227,SP500,0.014403,0.012209
20040331,SP500,-0.015011,-0.016359
20040430,SP500,-0.015584,-0.016791
20040528,SP500,0.013711,0.012083
20040630,SP500,0.01949,0.017989
20040730,SP500,-0.032932,-0.034291
20040831,SP500,0.003807,0.002287
20040930,SP500,0.010817,0.009364
20041029,SP500,0.014973,0.014014
20041130,SP500,0.040561,0.038595
20041231,SP500,0.033734,0.032458
20050131,SP500,-0.023824,-0.02529
20050228,SP500,0.021151,0.018903
20050331,SP500,-0.01724,-0.019118
20050429,SP500,-0.018926,-0.020109
20050531,SP500,0.031994,0.029952
20050630,SP500,0.001717,-0.000143
20050729,SP500,0.037374,0.035968
20050831,SP500,-0.009159,-0.011222
20050930,SP500,0.008001,0.006949
20051031,SP500,-0.015552,-0.017741
20051130,SP500,0.038366,0.035186
20051230,SP500,-0.00006,-0.000952
20060131,SP500,0.026426,0.025467
20060228,SP500,0.002426,0.000453
20060331,SP500,0.012909,0.011065
20060428,SP500,0.012057,0.012187
20060531,SP500,-0.028318,-0.030917
20060630,SP500,0.001558,0.000087
20060731,SP500,0.00555,0.005086
20060831,SP500,0.02417,0.021274
20060929,SP500,0.026487,0.024566
20061031,SP500,0.032514,0.031508
20061130,SP500,0.018385,0.016467
20061229,SP500,0.013759,0.012616
20070131,SP500,0.01535,0.014059
20070228,SP500,-0.019269,-0.021846
20070330,SP500,0.010896,0.00998
20070430,SP500,0.043991,0.043291
20070531,SP500,0.034459,0.032549
20070629,SP500,-0.016624,-0.017816
20070731,SP500,-0.031192,-0.031982
20070831,SP500,0.015118,0.012864
20070928,SP500,0.037485,0.035794
20071031,SP500,0.017362,0.014822
20071130,SP500,-0.041217,-0.044043
20071231,SP500,-0.006098,-0.008628
20080131,SP500,-0.061183,-0.061163
20080229,SP500,-0.031409,-0.034761
20080331,SP500,-0.0034,-0.00596
20080430,SP500,0.048629,0.047547
20080530,SP500,0.012986,0.010674
20080630,SP500,-0.082819,-0.085962
20080731,SP500,-0.007309,-0.009859
20080829,SP500,0.014955,0.012191
20080930,SP500,-0.085467,-0.090791
20081031,SP500,-0.166979,-0.169425
20081128,SP500,-0.073512,-0.074849
20081231,SP500,0.011995,0.007822
20090130,SP500,-0.082615,-0.085657
20090227,SP500,-0.103584,-0.109931
20090331,SP500,0.087634,0.085405
20090430,SP500,0.09423,0.093925
20090529,SP500,0.05464,0.053081
20090630,SP500,0.002476,0.000196
20090731,SP500,0.074484,0.074142
20090831,SP500,0.034751,0.03356
20090930,SP500,0.036534,0.035723
20091030,SP500,-0.018259,-0.019762
20091130,SP500,0.060257,0.057364
20091231,SP500,0.018983,0.017771
20100129,SP500,-0.035751,-0.036974
20100226,SP500,0.030426,0.028514
20100331,SP500,0.061014,0.058796
20100430,SP500,0.015977,0.014759
20100528,SP500,-0.080111,-0.081976
20100630,SP500,-0.053525,-0.053882
20100730,SP500,0.070451,0.068778
20100831,SP500,-0.045434,-0.047449
20100930,SP500,0.090383,0.087551
20101029,SP500,0.038726,0.036856
20101130,SP500,-0.000051,-0.00229
20101231,SP500,0.067054,0.0653
20110131,SP500,0.023349,0.022646
20110228,SP500,0.032508,0.031957
20110331,SP500,0.000625,-0.001047
20110429,SP500,0.029441,0.028495
20110531,SP500,-0.011313,-0.013501
20110630,SP500,-0.016545,-0.018258
20110729,SP500,-0.019828,-0.021474
20110831,SP500,-0.054322,-0.056791
20110930,SP500,-0.070238,-0.071762
20111031,SP500,0.109023,0.107723
20111130,SP500,-0.002727,-0.005059
20111230,SP500,0.009427,0.008533
20120131,SP500,0.045206,0.043583
20120229,SP500,0.04334,0.040589
20120330,SP500,0.032866,0.031332
20120430,SP500,-0.006034,-0.007497
20120531,SP500,-0.05979,-0.062651
20120629,SP500,0.041465,0.039555
20120731,SP500,0.014363,0.012598
20120831,SP500,0.022744,0.019763
20120928,SP500,0.025079,0.024236
20121031,SP500,-0.017849,-0.019789
20121130,SP500,0.00519,0.002847
20121231,SP500,0.008194,0.007068
20130131,SP500,0.052243,0.050428
20130228,SP500,0.013211,0.011061
20130328,SP500,0.037507,0.035988
20130430,SP500,0.019777,0.018086
20130531,SP500,0.022896,0.020763
20130628,SP500,-0.013664,-0.014999
20130731,SP500,0.050719,0.049462
20130830,SP500,-0.029336,-0.031298
20130930,SP500,0.031707,0.029749
20131031,SP500,0.046313,0.044596
20131129,SP500,0.030811,0.028049
20131231,SP500,0.025811,0.023563
