Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andean Region,ANR,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35905E+11,1.61735E+11,1.5867E+11,1.55377E+11,1.82668E+11,3.4429E+11,5.91941E+11,1.16888E+12,8.23417E+11,1.24564E+12,7.40332E+11,8.26109E+11,9.22633E+11,8.31666E+11,8.60421E+11,
United Arab Emirates,ARE,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9069291553,7686981662,5727314410,5773601922,20376310683,30363231858,55488400000,1.15952E+11,80742600000,1.21114E+11,68812200000,80199100000,77080700000,71326900000,67950505023,
Argentina,ARG,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020000000,4220000000,3270000128,18499999744,18599999488,44000002048,36899999744,37783000000,44679000000,59252000000,45332000000,83887408700,1.66068E+11,1.92499E+11,1.03434E+11,38927340000,46432020000,61477590000,79730410000,86684200000,52309391298,48932431697,63909793555,43579790892,34240748272,
Armenia,ARM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147314.123,10200106,27112491.17,18104808.17,42800000,60171483.88,105000000,176021426.6,140509762.9,144785219,139583612,132149288.9,
American Samoa,ASM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E+11,1.41E+11,1.09E+11,1.49E+11,1.45E+11,2.04866E+11,2.18865E+11,2.45218E+11,3.11981E+11,2.95785E+11,3.28949E+11,4.27683E+11,3.72794E+11,3.75131E+11,3.78846E+11,5.85475E+11,7.76403E+11,8.04074E+11,1.09586E+12,1.29843E+12,6.75619E+11,1.25846E+12,1.45455E+12,1.19816E+12,1.28644E+12,
Austria,AUT,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8860000256,22300000256,11500000256,7689999872,21799999488,28437000192,30272000000,32513000000,33953000000,35724000000,34106000000,33024519200,29935200000,24511619624,31899464792,55085771948,86343618323,1.2439E+11,1.913E+11,2.28707E+11,72299836620,53578044956,67682829563,82373779948,1.06037E+11,
