year,property_gap
1,-0.069993
2,-0.14995
3,0.2799
4,0.052197
5,-0.050124
6,-0.4282
7,0.49489
8,0.16722
9,-0.11882
10,-0.55422
11,-0.13285
12,-0.23219
13,-0.53347
14,-0.92637
15,-0.033279
16,-0.076667
17,-0.46726
18,-0.63158
19,0.20384
20,-0.096297
21,-0.34829
22,-0.8595
23,0.38383
24,0.14712
25,-0.34823
26,-0.856
27,-1.139
28,-2.0831
29,-2.2719
30,-2.0924
31,-2.7815
32,-2.2069
33,-2.3538
34,-2.0268
35,-2.4154
36,-2.9118
37,-2.4841
38,-2.2465
39,-1.6706
40,-0.91717
41,-1.1897
42,-0.86131
43,-0.45967
44,0.25539
45,1.0451
46,1.1335
47,2.0102
48,2.5542
49,3.012
50,3.0868
51,3.1016
52,2.6044
53,2.1007
54,1.6991
55,1.452
56,1.078
57,0.755
58,0.79166
59,0.43553
60,0.1331
61,-0.031714
62,-0.63443
63,-1.1021
64,-1.3474
65,-1.8012
66,-1.8199
67,-3.0493
68,-3.1966
69,-3.1868
70,-2.7721
71,-2.2506
72,-2.383
73,-2.7713
74,-2.7001
75,-2.7906
76,-2.0092
77,-0.87584
78,-0.48586
79,0.29244
80,1.5637
81,2.8408
82,3.9342
83,5.144
84,4.3974
85,4.5496
86,4.7774
87,4.3331
88,4.1209
89,3.8672
90,3.2421
91,2.8058
92,2.0186
93,1.2322
94,0.28815
95,0.46237
96,0.3195
97,0.16616
98,-0.11203
99,0.11576
100,-0.3043
101,-0.81718
102,-0.96111
103,-1.1666
104,-1.2329
105,-1.0344
106,-1.0366
107,-1.0151
108,-1.359
109,-1.8433
110,-2.4851
111,-3.5582
112,-3.3293
113,-3.7034
114,-4.1436
115,-3.7073
116,-3.9872
117,-4.0898
118,-4.3842
119,-5.0492
120,-5.5479
121,-5.4469
122,-5.3243
123,-5.7148
124,-4.5323
125,-4.1011
126,-3.5609
127,-3.2492
128,-3.7429
129,-4.1098
130,-3.4559
131,-3.4155
132,-3.123
133,-4.1704
134,-5.3382
135,-7.8233
136,-9.6671
137,-9.8298
138,-10.372
139,-14.562
140,-14.021
141,-12.94
142,-10.243
143,-8.1379
144,0.75402
145,6.8625
146,9.5618
147,15.056
148,21.485
149,26.313
150,29.729
151,33.249
152,35.921
153,36.294
154,37.092
155,35.694
156,26.935
157,18.379
158,11.296
159,5.6853
160,2.5516
161,2.5075
162,0.28976
163,-0.93009
164,-2.9478
165,-5.2784
166,-5.9843
167,-10.908
168,-13.824
169,-15.991
170,-18.037
171,-21.692
172,-22.179
173,-21.832
174,-20.451
175,-22.192
