quoteDate,noise,noise(dirty)
19880104,24.1004,24.1004
19880105,19.4826,19.4826
19880106,16.4318,16.4318
19880107,602.5408,602.5408
19880108,15.6469,15.6469
19880111,9.5897,9.5897
19880112,28.917,28.917
19880113,125.1294,125.1294
19880114,34.5006,34.5006
19880115,10.0724,10.0724
19880119,-1,66856630912113400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19880120,40.871,40.871
19880121,26.0378,26.0378
19880122,18.0734,18.0734
19880125,12.6678,12.6678
19880126,11.6577,11.6577
19880127,10.8171,10.8171
19880128,19.944,19.944
19880129,9.4602,9.4602
19880201,58.1154,58.1154
19880202,29.7893,29.7893
19880203,17.3866,17.3866
19880204,13.7762,13.7762
19880205,11.6603,11.6603
19880208,19.8259,19.8259
19880209,7.9607,7.9607
19880210,21.6575,21.6575
19880211,7.0695,7.0695
19880212,6.7119,6.7119
19880216,-1,9441425190931910000000000000000000000000000000000000000000000000000000000000000
19880217,797.1407,797.1407
19880218,71.1223,71.1223
19880219,51.2334,51.2334
19880222,57.7028,57.7028
19880223,36.6129,36.6129
19880224,22.6471,22.6471
19880225,35.0105,35.0105
19880226,18.4756,18.4756
19880229,10.1523,10.1523
19880301,46.2212,46.2212
19880302,9.2733,9.2733
19880303,9.2318,9.2318
19880304,72.4534,72.4534
19880307,12.2608,12.2608
19880308,11.3364,11.3364
19880309,9.352,9.352
19880310,9.4072,9.4072
19880311,12.5156,12.5156
19880314,8.442,8.442
19880315,19.0739,19.0739
19880316,9.7134,9.7134
19880317,9.7574,9.7574
19880318,7.6966,7.6966
19880321,11.2637,11.2637
19880322,6.584,6.584
19880323,37.656,37.656
19880324,22.0785,22.0785
19880325,6.0603,6.0603
19880328,5.6611,5.6611
19880329,27.2198,27.2198
19880330,46.3565,46.3565
19880331,11.0876,11.0876
19880404,12.0639,12.0639
19880405,11.8381,11.8381
19880406,16.4533,16.4533
19880407,14.2956,14.2956
19880408,12.6759,12.6759
19880411,9.6049,9.6049
19880412,424.1349,424.1349
19880413,413.1457,413.1457
19880414,51.9419,51.9419
19880415,13.5172,13.5172
19880418,39.1302,39.1302
19880419,29.61,29.61
19880420,23.9277,23.9277
19880421,20.1582,20.1582
19880422,17.4776,17.4776
19880425,12.6833,12.6833
19880426,17.5038,17.5038
19880427,12.4985,12.4985
19880428,82.7522,82.7522
19880429,49.0796,49.0796
19880502,16.6273,16.6273
19880503,17.6268,17.6268
19880504,14.0015,14.0015
19880505,11.8736,11.8736
19880506,10.4723,10.4723
19880509,8.0986,8.0986
19880510,90.6327,90.6327
19880511,-1,  Inf
19880512,41.7866,41.7866
19880513,696.3054,696.3054
19880516,-1,217683142683678000000000000000000000000000000000000000000000000000000000000000000000000
19880517,104.5697,104.5697
19880518,11.1705,11.1705
19880519,10.9944,10.9944
19880520,41.4308,41.4308
19880523,10.8408,10.8408
19880524,23.1286,23.1286
19880525,10.9637,10.9637
19880526,18.9573,18.9573
19880527,142.5004,142.5004
19880531,-1,1685026700947240000000000000000000000000000000000000000000000000000000
19880601,9.8772,9.8772
19880602,26.4462,26.4462
19880603,19.3862,19.3862
19880606,10.1439,10.1439
19880607,9.9642,9.9642
19880608,67.9298,67.9298
19880609,9.7048,9.7048
19880610,9.72,9.72
19880613,9.8078,9.8078
19880614,8.4028,8.4028
19880615,9.8388,9.8388
19880616,9.9453,9.9453
19880617,7.4023,7.4023
19880620,15.0232,15.0232
19880621,6.8552,6.8552
19880622,16.122,16.122
19880623,9.3183,9.3183
19880624,40.2692,40.2692
19880627,5.6812,5.6812
19880628,-1,1202.2833
19880629,47.7056,47.7056
19880630,11.1851,11.1851
19880701,11.3748,11.3748
19880705,29.2934,29.2934
19880706,-1,3060033934154960000000000000000000000000000000000
19880707,46.1863,46.1863
19880708,132.3501,132.3501
19880711,9.6962,9.6962
19880712,20.0963,20.0963
19880713,638.4408,638.4408
19880714,33.4789,33.4789
19880715,10.2321,10.2321
19880718,39.3445,39.3445
19880719,29.7725,29.7725
19880720,24.0594,24.0594
19880721,20.2694,20.2694
19880722,11.2355,11.2355
19880725,12.7544,12.7544
19880726,229.0855,229.0855
19880727,15.1807,15.1807
19880728,104.4117,104.4117
19880729,9.5254,9.5254
19880801,58.5109,58.5109
19880802,24.8952,24.8952
19880803,-1,  Inf
19880804,36.1938,36.1938
19880805,11.7397,11.7397
19880808,24.5113,24.5113
19880809,8.0151,8.0151
19880810,26.3539,26.3539
19880811,7.118,7.118
19880812,6.7834,6.7834
19880815,-1,  Inf
19880816,-1,3590.6982
19880817,10.4119,10.4119
19880818,70.8044,70.8044
19880819,52.2593,52.2593
19880822,54.5575,54.5575
19880823,56.2304,56.2304
19880824,12.4121,12.4121
19880825,20.8422,20.8422
19880826,-1,2754.4129
19880829,15.7011,15.7011
19880830,14.2602,14.2602
19880831,9.5098,9.5098
19880901,9.4717,9.4717
19880902,26.1133,26.1133
19880906,12.5297,12.5297
19880907,9.4143,9.4143
19880908,9.4131,9.4131
19880909,29.1024,29.1024
19880912,8.8083,8.8083
19880913,9.812,9.812
19880914,20.3078,20.3078
19880915,9.6606,9.6606
19880916,7.6004,7.6004
19880919,10.5498,10.5498
19880920,6.7442,6.7442
19880921,6.6009,6.6009
19880922,6.6709,6.6709
19880923,6.3207,6.3207
19880926,14.4715,14.4715
19880927,20.4241,20.4241
19880928,115.2195,115.2195
19880929,21.3228,21.3228
19880930,10.7429,10.7429
19881003,35.3194,35.3194
19881004,12.2426,12.2426
19881005,12.0574,12.0574
19881006,16.3096,16.3096
19881007,14.1728,14.1728
19881011,82.963,82.963
19881012,25.9763,25.9763
19881013,6.938,6.938
19881014,7.8786,7.8786
19881017,57.7154,57.7154
19881018,38.76,38.76
19881019,29.3325,29.3325
19881020,23.706,23.706
19881021,19.9739,19.9739
19881024,13.7456,13.7456
19881025,12.5251,12.5251
19881026,-1,  Inf
19881027,13.5376,13.5376
19881028,9.9974,9.9974
19881031,-1,  Inf
19881101,57.3288,57.3288
19881102,24.5065,24.5065
19881103,17.1721,17.1721
19881104,13.6158,13.6158
19881107,21.9873,21.9873
19881108,8.4625,8.4625
19881109,7.8898,7.8898
19881110,7.3973,7.3973
19881114,-1,2867.865
19881115,-1,35068656195447600
19881116,-1,4150715173123560000000000
19881117,11.4211,11.4211
19881118,77.88,77.88
19881121,314.0919,314.0919
19881122,84.7407,84.7407
19881123,57.2882,57.2882
19881125,38.368,38.368
19881128,30.3158,30.3158
19881129,770.8484,770.8484
19881130,10.076,10.076
19881201,58.3269,58.3269
19881202,36.4884,36.4884
19881205,10.0282,10.0282
19881206,36.4123,36.4123
19881207,9.7283,9.7283
19881208,11.0311,11.0311
19881209,10.4818,10.4818
19881212,10.1735,10.1735
19881213,196.4369,196.4369
19881214,9.8335,9.8335
19881215,9.862,9.862
19881216,7.7306,7.7306
19881219,7.0151,7.0151
19881220,6.8221,6.8221
19881221,-1,98570415225509900000
19881222,33.4575,33.4575
19881223,12.1734,12.1734
19881227,86.2655,86.2655
19881228,12.2823,12.2823
19881229,5.5117,5.5117
19881230,61.1786,61.1786
19890103,11.8789,11.8789
