date,noise
19870102,6.04327456
19870105,5.75653258
19870106,6.15327799
19870107,5.74054641
19870108,6.10725327
19870109,5.52545874
19870112,5.51740693
19870113,5.95318618
19870114,5.60742876
19870115,5.16641983
19870116,6.3157512
19870120,5.65060314
19870121,5.35207334
19870122,4.8593507
19870123,5.87675743
19870126,4.91294232
19870127,5.64354399
19870128,5.44408451
19870129,4.76007397
19870130,4.98893012
19870202,4.79862247
19870203,4.86223045
19870204,5.42931592
19870205,4.92912064
19870206,4.723125
19870209,4.46310057
19870210,4.32406859
19870211,4.33348142
19870212,4.57718158
19870213,4.91794935
19870217,4.42747263
19870218,4.34944628
19870219,4.65109527
19870220,4.37984268
19870223,4.30874914
19870224,4.31038019
19870225,4.5939441
19870226,4.89568949
19870227,4.93370014
19870302,4.80320132
19870303,4.80440011
19870304,4.98161521
19870305,4.99160117
19870306,4.93096158
19870309,4.98877882
19870310,4.34559249
19870311,4.81320107
19870312,4.85382207
19870313,4.68726553
19870316,4.68878018
19870317,4.96252115
19870318,4.64950607
19870319,4.72026949
19870320,4.46371763
19870323,4.05945024
19870324,4.02809881
19870325,3.98391257
19870326,4.69543522
19870327,4.10049609
19870330,4.45043128
19870331,4.48183366
19870401,3.94543488
19870402,4.15918542
19870403,3.81248129
19870406,4.18588111
19870407,4.4255987
19870408,4.49054469
19870409,5.14022416
19870410,5.74111674
19870413,6.2244055
19870414,6.00747784
19870415,5.86838515
19870416,6.10323403
19870420,5.80788723
19870421,5.87078653
19870422,5.58478409
19870423,5.83875295
19870424,5.54082576
19870427,5.74290618
19870428,5.59726477
19870429,5.87616514
19870430,6.01139062
19870501,6.12433897
19870504,5.84839606
19870505,5.83656575
19870506,6.04196346
19870507,6.34475048
19870508,6.53457963
19870511,6.2450814
19870512,6.5354971
19870513,6.19311862
19870514,6.18407455
19870515,6.91114605
19870518,7.02902391
19870519,6.70306346
19870520,6.95110644
19870521,6.97566597
19870522,6.826529
19870526,7.42417208
19870527,6.64631994
19870528,6.36042121
19870529,6.30299316
19870601,5.88768969
19870602,6.09571505
19870603,6.31943518
19870604,6.05036525
19870605,6.34588908
19870608,7.2833191
19870609,6.6964575
19870610,6.16774176
19870611,6.3900648
19870612,6.32846098
19870615,6.32491621
19870616,6.25369813
19870617,6.07162938
19870618,6.28116314
19870619,4.86903663
19870622,4.6849019
19870623,4.60483222
19870624,4.73390187
19870625,4.82697136
19870626,5.13589378
19870629,5.03924797
19870630,5.96024373
19870701,6.11761933
19870702,5.98929748
19870706,6.10014768
19870707,6.28864133
19870708,4.62759629
19870709,4.98013369
19870710,4.82824401
19870713,4.75359816
19870714,4.76892577
19870715,4.75781277
19870716,4.94957124
19870717,4.2062181
19870720,4.6011335
19870721,4.76970839
19870722,5.11265181
19870723,5.15388814
19870724,5.40124741
19870727,5.87383053
19870728,5.38526914
19870729,5.54484749
19870730,5.50850581
19870731,5.8861796
19870803,6.73267572
19870804,6.43904123
19870805,6.61445378
19870806,6.58400954
19870807,6.36355846
19870810,6.18846009
19870811,5.73961688
19870812,5.3968076
19870813,5.26462302
19870814,5.18078501
19870817,4.78321344
19870818,4.93548761
19870819,4.96953987
19870820,4.84052216
19870821,5.89211001
19870824,5.0972916
19870825,5.74355355
19870826,5.21934624
19870827,5.83069744
19870828,5.14323249
19870831,5.3676902
19870901,4.58021262
19870902,5.32199974
19870903,5.39569054
19870904,4.81636899
19870908,6.90611334
19870909,5.13154719
19870910,4.35092037
19870911,4.38837724
19870914,4.76154369
19870915,5.40740904
19870916,4.68223544
19870917,5.80409879
19870918,4.54200178
19870921,4.73476942
19870922,5.1362251
19870923,5.02114744
19870924,4.3895041
19870925,4.16373832
19870928,4.32736382
19870929,4.5927169
19870930,4.67565331
19871001,5.78527544
19871002,5.29941994
19871005,3.73772016
19871006,4.11250343
19871007,4.07943633
19871008,5.97965767
19871009,7.73089094
19871013,4.27619889
19871014,7.45038265
19871015,4.7768614
19871016,4.44896461
19871019,13.31479349
19871020,10.99972382
19871021,7.48299056
19871022,8.48344463
19871023,7.03466209
19871026,9.81692703
19871027,6.84766986
19871028,7.12534678
19871029,6.84578512
19871030,7.30422027
19871102,6.38188285
19871103,6.028683
19871104,6.25399331
19871105,9.24714875
19871106,6.16203351
19871109,6.0274737
19871110,5.90291101
19871112,5.7720312
19871113,5.13868664
19871116,5.37671397
19871117,5.21347035
19871118,4.97691568
19871119,5.10825077
19871120,5.10286672
19871123,5.79754511
19871124,6.03335717
19871125,6.0062598
19871127,5.85594759
19871130,5.64600117
19871201,6.98548366
19871202,6.09643358
19871203,5.90600023
19871204,5.5223436
19871207,5.97402076
19871208,5.08686464
19871209,4.90866259
19871210,5.10545675
19871211,5.77825254
19871214,6.05628427
19871215,5.75248004
19871216,5.53133754
19871217,5.27834088
19871218,5.89443701
19871221,6.00076483
19871222,5.96961716
19871223,5.92772838
19871224,7.39966843
19871228,6.59146314
19871229,4.45379527
19871230,4.95949811
19871231,4.8425321
19880104,4.27398418
19880105,4.48497321
19880106,4.51089068
19880107,4.47694918
19880108,4.64710517
19880111,4.45112744
19880112,4.35962448
19880113,5.32219961
19880114,4.27422332
19880115,5.70999301
19880119,4.31049441
19880120,4.02712836
19880121,3.93293262
19880122,4.00403679
19880125,3.85683755
19880126,4.166192
19880127,4.02481413
19880128,3.97731988
19880129,4.19342141
19880201,3.95356595
19880202,4.09760868
19880203,3.9444525
19880204,3.67047481
19880205,4.29389402
19880208,4.10105319
19880209,4.27856007
19880210,3.75551531
19880211,4.24772935
19880212,4.78613113
19880216,4.81456278
19880217,4.60999587
19880218,4.14797879
19880219,4.14651576
19880222,3.79517874
19880223,3.87776849
19880224,3.67866282
19880225,3.80870575
19880226,3.70144456
19880229,3.55881019
19880301,3.80060191
19880302,3.97967418
19880303,3.42004698
19880304,4.36050208
19880307,3.57177237
19880308,4.21824954
19880309,4.25042535
19880310,4.07510082
19880311,4.37721469
19880314,4.38190388
19880315,4.44218443
19880316,4.21924996
19880317,4.35377899
19880318,4.95714953
19880321,4.44029949
19880322,4.40720214
19880323,4.38996703
19880324,4.32108747
19880325,4.76106892
19880328,3.94272526
19880329,4.88451329
19880330,5.01052887
19880331,4.7773866
19880404,4.59880057
19880405,4.88015521
19880406,4.73586309
19880407,4.96935209
19880408,5.17364224
19880411,4.76564733
19880412,4.88747601
19880413,4.54604316
19880414,5.00841016
19880415,4.76509937
19880418,4.6197709
19880419,4.63609034
19880420,4.49609126
19880421,4.50520401
19880422,4.49957498
19880425,4.1563912
19880426,4.23654655
19880427,4.0601702
19880428,4.31090879
19880429,4.33127042
19880502,4.44064634
19880503,4.36171217
19880504,4.17487742
19880505,4.13797073
19880506,4.31055183
19880509,4.48092685
19880510,4.25200159
19880511,4.24523265
19880512,4.08410691
19880513,4.03580943
19880516,4.78795953
19880517,3.82726209
19880518,5.40496407
19880519,5.23628138
19880520,5.3563511
19880523,3.92519957
19880524,3.94288396
19880525,4.40690641
19880526,3.75471228
19880527,3.92410161
19880531,3.82741222
19880601,3.93552038
19880602,3.73568495
19880603,4.0930045
19880606,4.02122851
19880607,4.07005943
19880608,4.06335736
19880609,3.9839543
19880610,3.8296205
19880613,3.86082559
19880614,4.29790265
19880615,4.66038914
19880616,4.30344639
19880617,4.13341643
19880620,4.38229085
19880621,4.25881856
19880622,4.19806811
19880623,4.09080942
19880624,4.16204264
19880627,4.0691458
19880628,4.49268165
19880629,4.25475897
19880630,4.02185016
19880701,3.77952394
19880705,4.10814582
19880706,3.97712217
19880707,4.13194456
19880708,5.05805121
19880711,5.19147403
19880712,4.91250462
19880713,4.76292496
19880714,4.89554251
19880715,4.85062758
19880718,5.11902119
19880719,4.47300298
19880720,4.4440105
19880721,4.97867098
19880722,4.95098348
19880725,3.99649669
19880726,4.97695545
19880727,4.3132492
19880728,4.84001798
19880729,4.08335107
19880801,4.07651083
19880802,4.31026083
19880803,4.39579454
19880804,4.09357564
19880805,4.60648286
19880808,3.98692772
19880809,3.93921577
19880810,5.34413387
19880811,5.50363712
19880812,4.97582347
19880815,4.62516418
19880816,5.38022231
19880817,5.24054491
19880818,5.16881161
19880819,5.27945699
19880822,5.24963681
19880823,5.70613977
19880824,4.990152
19880825,4.95531676
19880826,5.1532867
19880829,4.90283536
19880830,5.01071386
19880831,4.82574298
19880901,4.86750496
19880902,7.25816779
19880906,5.14219437
19880907,5.31143989
19880908,5.12887153
19880909,5.55675944
19880912,5.88588843
19880913,5.84358091
19880914,5.88396089
19880915,5.47818443
19880916,5.38772241
19880919,5.67696681
19880920,5.08859176
19880921,5.16635414
19880922,5.15527725
19880923,5.63703495
19880926,5.52216675
19880927,5.88806988
19880928,5.38827458
19880929,5.99594014
19880930,5.326116
19881003,5.38569815
19881004,5.44857932
19881005,5.84092661
19881006,5.84975334
19881007,5.80750906
19881011,5.41533858
19881012,5.51474986
19881013,5.38732198
19881014,5.28335171
19881017,5.51704399
19881018,5.562781
19881019,5.51095945
19881020,5.50171784
19881021,5.67225324
19881024,6.2793857
19881025,6.25063706
19881026,6.3614402
19881027,6.66231507
19881028,6.36317617
19881031,6.23918106
19881101,5.3051979
19881102,5.67284807
19881103,5.73543141
19881104,5.62014832
19881107,6.90214719
19881108,5.67247167
19881109,5.63520789
19881110,5.36440425
19881114,5.68540289
19881115,6.02614189
19881116,5.03480657
19881117,5.75298687
19881118,5.50131744
19881121,5.15806242
19881122,5.71414272
19881123,5.51008921
19881125,5.62253343
19881128,5.4591173
19881129,5.48620061
19881130,5.17890618
19881201,7.60383291
19881202,7.39558973
19881205,7.61407253
19881206,7.54840168
19881207,5.83665268
19881208,5.61310658
19881209,5.56930104
19881212,5.78342061
19881213,5.28925972
19881214,5.02133191
19881215,4.49621236
19881216,5.13573542
19881219,5.80459372
19881220,5.74377746
19881221,5.93664133
19881222,6.04472051
19881223,7.01587184
19881227,5.65326117
19881228,6.16824275
19881229,5.72576463
19881230,6.1572113
19890103,6.34506549
19890104,5.85144435
19890105,5.68388752
19890106,6.10703404
19890109,6.38941736
19890110,5.95828814
19890111,6.0868029
19890112,5.62610483
19890113,6.1716138
19890117,5.70094078
19890118,5.47018145
19890119,5.4428279
19890120,5.45888743
19890123,5.43157218
19890124,4.90157575
19890125,4.95799159
19890126,5.57058473
19890127,5.3984783
19890130,5.00816392
19890131,5.17719267
19890201,5.15209159
19890202,5.12000853
19890203,4.61028234
19890206,5.04511493
19890207,5.06351482
19890208,5.08129027
19890209,5.60870736
19890210,7.1531016
19890213,5.73748112
19890214,5.82316232
19890215,5.70327213
19890216,5.86064785
19890217,5.82446142
19890221,6.0676443
19890222,6.18352879
19890223,6.69069982
19890224,6.01561533
19890227,6.02412124
19890228,5.7684429
19890301,6.34113927
19890302,5.97954683
19890303,6.10624509
19890306,5.97627253
19890307,5.85381887
19890308,5.7104299
19890309,5.84822215
19890310,5.73760476
19890313,5.68311041
19890314,6.04730326
19890315,6.34783701
19890316,6.5933906
19890317,6.73114112
19890320,6.0688496
19890321,6.96958886
19890322,7.07468783
19890323,6.05529448
19890327,5.38925007
19890328,5.06740478
19890329,5.65173899
19890330,5.28587482
19890331,4.96123038
19890403,5.43494744
19890404,5.58856682
19890405,5.28767578
19890406,5.34085478
19890407,5.30813255
19890410,5.34060564
19890411,5.28890152
19890412,5.79573164
19890413,5.03174954
19890414,6.95962989
19890417,4.76428136
19890418,6.46988882
19890419,5.32242572
19890420,5.33944017
19890421,4.84766486
19890424,5.2173885
19890425,5.76374323
19890426,5.44171152
19890427,5.80447423
19890428,5.50917626
19890501,5.8598639
19890502,5.68412545
19890503,6.08707591
19890504,5.25596031
19890505,5.34176192
19890508,6.16583536
19890509,6.02290302
19890510,5.47379517
19890511,6.06752099
19890512,6.15248828
19890515,5.37351009
19890516,5.56934377
19890517,5.63338412
19890518,5.74396611
19890519,6.20394557
19890522,6.25271264
19890523,5.2735028
19890524,4.96768925
19890525,5.33031532
19890526,5.76512834
19890530,5.11766497
19890531,4.98347684
19890601,5.07146769
19890602,6.06133444
19890605,5.93953768
19890606,5.25570496
19890607,5.89812958
19890608,5.11134838
19890609,5.34955292
19890612,5.16467793
19890613,5.07221919
19890614,5.18372904
19890615,5.20804475
19890616,5.10958537
19890619,5.54418197
19890620,5.43758402
19890621,5.59359719
19890622,5.39239782
19890623,6.24477823
19890626,5.79017082
19890627,5.41166949
19890628,5.46825097
19890629,4.82567549
19890630,5.4762969
19890703,5.58081166
19890705,5.41521201
19890706,5.33467283
19890707,5.1930146
19890710,4.82773319
19890711,4.87543265
19890712,4.96439683
19890713,4.24955601
19890714,4.94611678
19890717,3.86040479
19890718,3.7816412
19890719,3.82695876
19890720,4.14396512
19890721,4.02683907
19890724,3.84344476
19890725,3.94554788
19890726,4.10321576
19890727,5.17384175
19890728,4.26052188
19890731,4.57945659
19890801,4.47335128
19890802,4.23496431
19890803,5.37654533
19890804,7.24323984
19890807,4.20971516
19890808,4.5371556
19890809,4.70990764
19890810,4.70454647
19890811,5.03493554
19890814,5.08921022
19890815,3.71965226
19890816,3.55130873
19890817,3.65743755
19890818,4.44354271
19890821,3.33528068
19890822,3.18364569
19890823,3.60247785
19890824,5.39974902
19890825,3.66938946
19890828,3.65963049
19890829,3.82567766
19890830,3.79190745
19890831,2.99990237
19890901,4.5717243
19890905,3.66525945
19890906,3.38814825
19890907,2.83482372
19890908,3.19358038
19890911,3.15348448
19890912,3.03745319
19890913,3.35345614
19890914,3.17471411
19890915,4.45966232
19890918,3.05150583
19890919,4.06824586
19890920,4.07098975
19890921,4.52317258
19890922,3.2543423
19890925,4.68305549
19890926,3.16750372
19890927,2.9643326
19890928,3.03035201
19890929,4.6007969
19891002,2.8043379
19891003,2.93804695
19891004,2.78771939
19891005,3.1272234
19891006,4.22009594
19891010,2.93078291
19891011,3.13377184
19891012,4.33634484
19891013,7.21308215
19891016,5.0323303
19891017,4.44940455
19891018,4.28558575
19891019,4.34704292
19891020,4.10378744
19891023,3.6343685
19891024,5.12999116
19891025,4.54551336
19891026,4.82757093
19891027,4.60048395
19891030,4.50272888
19891031,4.82317332
19891101,4.56073778
19891102,5.48415368
19891103,5.21083165
19891106,4.17823619
19891107,3.86298169
19891108,4.52267374
19891109,5.44110097
19891110,5.5116351
19891113,5.27791679
19891114,3.96461293
19891115,4.06010934
19891116,3.62586127
19891117,5.03728074
19891120,3.94439866
19891121,4.09785774
19891122,4.26350167
19891124,3.9999535
19891127,3.65428561
19891128,3.52724431
19891129,3.61650687
19891130,3.8147373
19891201,3.71021382
19891204,3.50988472
19891205,3.64774823
19891206,4.22631506
19891207,5.60064891
19891208,5.51483312
19891211,5.66356544
19891212,5.60625299
19891213,5.63533398
19891214,5.49501871
19891215,5.73700611
19891218,5.97027867
19891219,5.87699544
19891220,5.69017493
19891221,5.62690621
19891222,5.77360621
19891226,6.11360545
19891227,6.32680754
19891228,5.92812534
19891229,5.95636266
19900102,5.749805
19900103,6.10000268
19900104,5.654303
19900105,5.72132944
19900108,5.83098154
19900109,4.66355391
19900110,4.57165618
19900111,4.73774199
19900112,4.93528279
19900116,3.74222376
19900117,4.16069255
19900118,6.44570013
19900119,4.71262752
19900122,3.85772854
19900123,3.33822298
19900124,4.17439392
19900125,4.72881055
19900126,4.89742372
19900129,4.67445642
19900130,4.42855478
19900131,4.31995811
19900201,5.27228287
19900202,5.20705903
19900205,3.51157965
19900206,3.96285278
19900207,4.55502363
19900208,4.67233879
19900209,4.3010196
19900212,4.22142509
19900213,4.46675105
19900214,4.21231154
19900215,4.71468619
19900216,4.26522136
19900220,4.61795585
19900221,4.80963638
19900222,4.82903102
19900223,5.15476877
19900226,4.78398516
19900227,4.60785508
19900228,4.0237753
19900301,4.60243162
19900302,4.59508997
19900305,4.80978342
19900306,4.34239921
19900307,4.23223809
19900308,3.41086685
19900309,3.31552722
19900312,4.63544092
19900313,4.7179417
19900314,4.89089651
19900315,4.76030184
19900316,4.01947221
19900319,4.02909473
19900320,3.98173414
19900321,4.83026809
19900322,4.83335063
19900323,4.73117261
19900326,4.35574638
19900327,4.16005918
19900328,4.62693077
19900329,4.81133991
19900330,4.17117906
19900402,4.56504655
19900403,4.68629186
19900404,5.09619146
19900405,5.12138515
19900406,5.26931916
19900409,2.89150753
19900410,3.9734451
19900411,4.02245047
19900412,3.22635187
19900416,4.22551491
19900417,4.24826897
19900418,3.53846015
19900419,3.63924022
19900420,4.52902433
19900423,5.1623443
19900424,4.5721526
19900425,4.44247633
